                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9273,                 3.7782,                 1.8032,                0.37648,                0.33333,                0.27877,                0.14178,                 1.6598,                 2.3187,                 1.6452,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.5231,                 2.0528,                  1.518,                 0.5251,                0.36667,                 0.3572,                0.18755,                 1.7004,                 2.1132,                 1.6414,               0.046783,              0.0057832,              0.0057832
                      2,                 1.4165,                 1.7491,                 1.4506,                0.58602,                0.45152,                0.47245,                0.25102,                 1.5809,                 1.8643,                 1.5515,               0.019548,              0.0085476,              0.0085476
                      3,                 1.3374,                 1.5573,                 1.3527,                 0.5799,                0.49394,                0.53737,                0.30263,                 1.4963,                 1.6831,                 1.4278,               0.009406,               0.009406,               0.009406
                      4,                 1.3894,                  1.396,                 1.3302,                0.61486,                0.49829,                0.52576,                0.27492,                 1.5634,                 2.5865,                 1.4638,               0.009406,               0.009406,               0.009406
                      5,                 1.3636,                  1.259,                 1.2895,                0.58408,                0.44545,                0.48687,                0.25387,                 1.5837,                 3.1445,                 1.4876,               0.009208,               0.009208,               0.009208
                      6,                 1.3576,                 1.2522,                 1.3054,                0.54119,                0.52121,                0.50894,                0.26741,                 1.6665,                 1.9465,                 1.5988,                0.00901,                0.00901,                0.00901
                      7,                  1.351,                 1.2566,                  1.313,                0.70398,                0.55455,                0.63208,                0.37842,                  1.445,                 1.3793,                 1.4714,               0.008812,               0.008812,               0.008812
                      8,                  1.337,                 1.1847,                 1.3115,                0.65924,                0.47576,                0.55769,                0.28702,                 1.6005,                 1.6596,                 1.5788,               0.008614,               0.008614,               0.008614
                      9,                 1.2995,                 1.1559,                 1.3154,                0.64661,                0.57663,                0.63174,                0.35247,                 1.4314,                 1.4379,                 1.4568,               0.008416,               0.008416,               0.008416
                     10,                 1.2629,                 1.1003,                 1.2936,                0.68797,                0.65758,                0.69696,                0.40189,                 1.3606,                 1.3153,                 1.4424,               0.008218,               0.008218,               0.008218
                     11,                 1.2861,                 1.0762,                 1.2871,                0.68149,                0.59091,                0.63674,                0.37478,                 1.4843,                 1.3886,                 1.5041,                0.00802,                0.00802,                0.00802
                     12,                 1.2104,                 1.0165,                 1.2518,                0.68243,                0.57273,                0.63211,                0.38158,                 1.3998,                 1.5341,                 1.4556,               0.007822,               0.007822,               0.007822
                     13,                 1.2176,                0.98454,                 1.2427,                 0.6429,                0.60606,                0.65144,                 0.3876,                 1.5044,                 1.3695,                 1.4913,               0.007624,               0.007624,               0.007624
                     14,                 1.3006,                 1.0909,                 1.3438,                0.72716,                0.56667,                0.64816,                0.38394,                  1.478,                 1.3672,                 1.4634,               0.007426,               0.007426,               0.007426
                     15,                  1.167,                0.97104,                 1.2227,                0.69347,                 0.6303,                0.67651,                0.37911,                 1.5269,                 1.3103,                 1.4667,               0.007228,               0.007228,               0.007228
                     16,                 1.1733,                0.97294,                 1.2169,                0.69147,                0.61515,                0.66981,                0.38687,                  1.509,                 1.3015,                 1.5155,                0.00703,                0.00703,                0.00703
                     17,                 1.1768,                0.94319,                 1.2176,                 0.7592,                0.58485,                0.69982,                0.42427,                  1.383,                 1.2646,                 1.3922,               0.006832,               0.006832,               0.006832
                     18,                 1.1852,                0.95627,                 1.2396,                0.75425,                0.60303,                0.69315,                0.43338,                 1.3431,                 1.3027,                 1.3549,               0.006634,               0.006634,               0.006634
                     19,                 1.1307,                 0.8727,                 1.1883,                0.83989,                0.57228,                0.69637,                0.44275,                 1.3819,                 1.2643,                 1.4017,               0.006436,               0.006436,               0.006436
                     20,                  1.141,                0.87827,                 1.1879,                0.73596,                0.67572,                0.73194,                0.45745,                 1.3324,                 1.1505,                 1.3974,               0.006238,               0.006238,               0.006238
                     21,                 1.2205,                 1.0176,                 1.2776,                0.70789,                0.60606,                0.65525,                0.37862,                 1.5205,                 1.3382,                 1.4924,                0.00604,                0.00604,                0.00604
                     22,                 1.1293,                0.83564,                 1.1786,                0.73492,                0.66371,                0.71988,                0.44699,                 1.3859,                 1.1743,                 1.3922,               0.005842,               0.005842,               0.005842
                     23,                 1.1083,                0.81601,                 1.1639,                0.77899,                0.64545,                0.72254,                0.45971,                 1.3642,                 1.1469,                 1.3775,               0.005644,               0.005644,               0.005644
                     24,                  1.089,                0.79865,                 1.1643,                0.75407,                0.66667,                0.72969,                0.46459,                 1.3651,                 1.1119,                 1.3762,               0.005446,               0.005446,               0.005446
                     25,                 1.0747,                0.79666,                  1.154,                0.78334,                0.64545,                0.74175,                0.46045,                 1.3352,                 1.1556,                 1.3583,               0.005248,               0.005248,               0.005248
                     26,                 1.0569,                 0.7635,                 1.1442,                0.75869,                0.63636,                0.71802,                0.44563,                 1.3908,                 1.1877,                 1.3889,                0.00505,                0.00505,                0.00505
                     27,                 1.0374,                0.72478,                 1.1239,                0.80876,                0.65359,                0.72408,                0.44729,                 1.3829,                 1.1931,                 1.3776,               0.004852,               0.004852,               0.004852
                     28,                   1.06,                0.72306,                 1.1597,                0.71438,                 0.6697,                0.72319,                0.45548,                 1.3495,                 1.2086,                  1.388,               0.004654,               0.004654,               0.004654
                     29,                 1.0177,                0.70713,                 1.1341,                0.74486,                0.69394,                0.73527,                0.46502,                 1.3466,                 1.1553,                 1.3749,               0.004456,               0.004456,               0.004456
                     30,                0.98349,                0.70221,                 1.0993,                0.71121,                0.68182,                0.71996,                 0.4624,                 1.3153,                 1.1986,                 1.3556,               0.004258,               0.004258,               0.004258
                     31,                0.99822,                0.70342,                 1.1156,                0.77005,                0.64948,                0.74994,                0.47523,                 1.3243,                 1.2069,                 1.3579,                0.00406,                0.00406,                0.00406
                     32,                0.97424,                 0.6589,                 1.0955,                0.77086,                0.65246,                0.73438,                0.47891,                 1.3023,                 1.1553,                 1.3404,               0.003862,               0.003862,               0.003862
                     33,                0.94138,                 0.6427,                 1.0899,                0.74102,                0.66762,                0.73544,                0.47012,                 1.2803,                 1.1401,                 1.3388,               0.003664,               0.003664,               0.003664
                     34,                0.96217,                0.63657,                 1.0822,                 0.7799,                0.65455,                0.73624,                0.48118,                 1.3157,                 1.1443,                 1.3481,               0.003466,               0.003466,               0.003466
                     35,                0.98011,                0.66956,                 1.0992,                 0.8353,                0.64551,                 0.7467,                0.47669,                 1.3396,                 1.2007,                 1.3662,               0.003268,               0.003268,               0.003268
                     36,                0.91449,                0.61431,                 1.0803,                0.74665,                0.66061,                0.72695,                0.46935,                 1.3348,                  1.197,                 1.3673,                0.00307,                0.00307,                0.00307
                     37,                0.88063,                0.59203,                 1.0523,                 0.7887,                0.66734,                0.75932,                0.49349,                 1.3168,                 1.1384,                 1.3535,               0.002872,               0.002872,               0.002872
                     38,                0.88743,                0.58409,                 1.0584,                0.75806,                0.68361,                0.74901,                0.49188,                 1.3057,                 1.1842,                 1.3535,               0.002674,               0.002674,               0.002674
                     39,                0.92174,                0.62989,                 1.0551,                0.70227,                0.69697,                0.73325,                0.47554,                 1.3043,                 1.1811,                 1.3343,               0.002476,               0.002476,               0.002476
                     40,                0.83247,                0.59167,                  1.029,                0.79537,                0.61818,                0.69422,                0.43109,                 1.4255,                 1.3524,                 1.4422,               0.002278,               0.002278,               0.002278
                     41,                0.83512,                0.54803,                  1.021,                0.73203,                0.68182,                0.73281,                0.47739,                 1.2665,                 1.1686,                 1.3294,                0.00208,                0.00208,                0.00208
                     42,                0.79339,                0.50428,                0.99187,                0.82695,                0.65166,                0.75213,                0.49134,                  1.286,                 1.1198,                 1.3402,               0.001882,               0.001882,               0.001882
                     43,                0.79317,                0.51407,                0.99412,                0.79267,                0.66667,                0.74048,                0.47962,                 1.2926,                  1.167,                 1.3538,               0.001684,               0.001684,               0.001684
                     44,                0.77126,                0.49227,                0.98352,                0.81515,                0.64848,                0.74078,                0.48959,                 1.2913,                 1.1851,                 1.3357,               0.001486,               0.001486,               0.001486
                     45,                0.77477,                0.45805,                 0.9911,                0.78325,                0.67893,                0.74519,                0.48379,                 1.2992,                 1.1576,                 1.3541,               0.001288,               0.001288,               0.001288
                     46,                0.74791,                 0.4496,                0.97077,                  0.777,                0.68631,                0.74754,                0.49626,                 1.2711,                 1.1665,                 1.3348,                0.00109,                0.00109,                0.00109
                     47,                0.73242,                0.46887,                0.98059,                 0.7996,                 0.6697,                0.74344,                0.49338,                 1.2564,                 1.1847,                 1.3289,               0.000892,               0.000892,               0.000892
                     48,                0.73042,                 0.4224,                0.96341,                0.82361,                0.65152,                0.74404,                0.49822,                 1.2481,                 1.1814,                 1.3158,               0.000694,               0.000694,               0.000694
                     49,                0.70953,                0.44029,                0.96047,                0.83662,                0.64848,                0.75174,                 0.5026,                 1.2392,                 1.1514,                 1.3113,               0.000496,               0.000496,               0.000496
